Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Mar 2026,SSD,14203031,Unity,Koch,second projection,2026-04-01,2026-07-31,3,64286,0.6
Mar 2026,SSD,14203031,Unity,Koch,second projection,2026-04-01,2026-07-31,4,10714,0.1
Mar 2026,SSD,14203031,Unity,Koch,second projection,2026-04-01,2026-07-31,5,0,0
Mar 2026,SSD,14203031,Unity,Guit,first projection,2026-04-01,2026-07-31,all,76195,1.0
Mar 2026,SSD,14203031,Unity,Guit,first projection,2026-04-01,2026-07-31,3+,53337,0.7
Mar 2026,SSD,14203031,Unity,Guit,first projection,2026-04-01,2026-07-31,1,3810,0.05
Mar 2026,SSD,14203031,Unity,Guit,first projection,2026-04-01,2026-07-31,2,19049,0.25
Mar 2026,SSD,14203031,Unity,Guit,first projection,2026-04-01,2026-07-31,3,38098,0.5
Mar 2026,SSD,14203031,Unity,Guit,first projection,2026-04-01,2026-07-31,4,15239,0.2
Mar 2026,SSD,14203031,Unity,Guit,first projection,2026-04-01,2026-07-31,5,0,0
Mar 2026,SSD,14203031,Unity,Guit,second projection,2026-04-01,2026-07-31,all,76195,1.0
Mar 2026,SSD,14203031,Unity,Guit,second projection,2026-04-01,2026-07-31,3+,53337,0.7
Mar 2026,SSD,14203031,Unity,Guit,second projection,2026-04-01,2026-07-31,1,3810,0.05
Mar 2026,SSD,14203031,Unity,Guit,second projection,2026-04-01,2026-07-31,2,19049,0.25
Mar 2026,SSD,14203031,Unity,Guit,second projection,2026-04-01,2026-07-31,3,38098,0.5
Mar 2026,SSD,14203031,Unity,Guit,second projection,2026-04-01,2026-07-31,4,15239,0.2
Mar 2026,SSD,14203031,Unity,Guit,second projection,2026-04-01,2026-07-31,5,0,0
Mar 2026,SSD,14203031,Unity,Leer,first projection,2026-04-01,2026-07-31,all,85953,1.0
Mar 2026,SSD,14203031,Unity,Leer,first projection,2026-04-01,2026-07-31,3+,55869,0.65
Mar 2026,SSD,14203031,Unity,Leer,first projection,2026-04-01,2026-07-31,1,8595,0.1
Mar 2026,SSD,14203031,Unity,Leer,first projection,2026-04-01,2026-07-31,2,21488,0.25
Mar 2026,SSD,14203031,Unity,Leer,first projection,2026-04-01,2026-07-31,3,34381,0.4
Mar 2026,SSD,14203031,Unity,Leer,first projection,2026-04-01,2026-07-31,4,21488,0.25
Mar 2026,SSD,14203031,Unity,Leer,first projection,2026-04-01,2026-07-31,5,0,0
Mar 2026,SSD,14203031,Unity,Leer,second projection,2026-04-01,2026-07-31,all,85953,1.0
Mar 2026,SSD,14203031,Unity,Leer,second projection,2026-04-01,2026-07-31,3+,55869,0.65
Mar 2026,SSD,14203031,Unity,Leer,second projection,2026-04-01,2026-07-31,1,8595,0.1
Mar 2026,SSD,14203031,Unity,Leer,second projection,2026-04-01,2026-07-31,2,21488,0.25
Mar 2026,SSD,14203031,Unity,Leer,second projection,2026-04-01,2026-07-31,3,34381,0.4
Mar 2026,SSD,14203031,Unity,Leer,second projection,2026-04-01,2026-07-31,4,21488,0.25
Mar 2026,SSD,14203031,Unity,Leer,second projection,2026-04-01,2026-07-31,5,0,0
Mar 2026,SSD,14203031,Unity,Mayendit,first projection,2026-04-01,2026-07-31,all,76247,1.0
Mar 2026,SSD,14203031,Unity,Mayendit,first projection,2026-04-01,2026-07-31,3+,49561,0.65
Mar 2026,SSD,14203031,Unity,Mayendit,first projection,2026-04-01,2026-07-31,1,7625,0.1
Mar 2026,SSD,14203031,Unity,Mayendit,first projection,2026-04-01,2026-07-31,2,19062,0.25
Mar 2026,SSD,14203031,Unity,Mayendit,first projection,2026-04-01,2026-07-31,3,30499,0.4
Mar 2026,SSD,14203031,Unity,Mayendit,first projection,2026-04-01,2026-07-31,4,19062,0.25
Mar 2026,SSD,14203031,Unity,Mayendit,first projection,2026-04-01,2026-07-31,5,0,0
Mar 2026,SSD,14203031,Unity,Mayendit,second projection,2026-04-01,2026-07-31,all,76247,1.0
Mar 2026,SSD,14203031,Unity,Mayendit,second projection,2026-04-01,2026-07-31,3+,49561,0.65
Mar 2026,SSD,14203031,Unity,Mayendit,second projection,2026-04-01,2026-07-31,1,7625,0.1
Mar 2026,SSD,14203031,Unity,Mayendit,second projection,2026-04-01,2026-07-31,2,19062,0.25
Mar 2026,SSD,14203031,Unity,Mayendit,second projection,2026-04-01,2026-07-31,3,30499,0.4
Mar 2026,SSD,14203031,Unity,Mayendit,second projection,2026-04-01,2026-07-31,4,19062,0.25
Mar 2026,SSD,14203031,Unity,Mayendit,second projection,2026-04-01,2026-07-31,5,0,0
Mar 2026,SSD,14203031,Unity,Pariang,first projection,2026-04-01,2026-07-31,all,141940,1.0
Mar 2026,SSD,14203031,Unity,Pariang,first projection,2026-04-01,2026-07-31,3+,70970,0.5
Mar 2026,SSD,14203031,Unity,Pariang,first projection,2026-04-01,2026-07-31,1,28388,0.2
Mar 2026,SSD,14203031,Unity,Pariang,first projection,2026-04-01,2026-07-31,2,42582,0.3
Mar 2026,SSD,14203031,Unity,Pariang,first projection,2026-04-01,2026-07-31,3,56776,0.4
Mar 2026,SSD,14203031,Unity,Pariang,first projection,2026-04-01,2026-07-31,4,14194,0.1
Mar 2026,SSD,14203031,Unity,Pariang,first projection,2026-04-01,2026-07-31,5,0,0
Mar 2026,SSD,14203031,Unity,Pariang,second projection,2026-04-01,2026-07-31,all,141940,1.0
Mar 2026,SSD,14203031,Unity,Pariang,second projection,2026-04-01,2026-07-31,3+,70970,0.5
Mar 2026,SSD,14203031,Unity,Pariang,second projection,2026-04-01,2026-07-31,1,28388,0.2
Mar 2026,SSD,14203031,Unity,Pariang,second projection,2026-04-01,2026-07-31,2,42582,0.3
Mar 2026,SSD,14203031,Unity,Pariang,second projection,2026-04-01,2026-07-31,3,56776,0.4
Mar 2026,SSD,14203031,Unity,Pariang,second projection,2026-04-01,2026-07-31,4,14194,0.1
Mar 2026,SSD,14203031,Unity,Pariang,second projection,2026-04-01,2026-07-31,5,0,0
Mar 2026,SSD,14203031,Unity,Rubkona,first projection,2026-04-01,2026-07-31,all,414201,1.0
Mar 2026,SSD,14203031,Unity,Rubkona,first projection,2026-04-01,2026-07-31,3+,310651,0.75
Mar 2026,SSD,14203031,Unity,Rubkona,first projection,2026-04-01,2026-07-31,1,20710,0.05
Mar 2026,SSD,14203031,Unity,Rubkona,first projection,2026-04-01,2026-07-31,2,82840,0.2
Mar 2026,SSD,14203031,Unity,Rubkona,first projection,2026-04-01,2026-07-31,3,207101,0.5
Mar 2026,SSD,14203031,Unity,Rubkona,first projection,2026-04-01,2026-07-31,4,103550,0.25
Mar 2026,SSD,14203031,Unity,Rubkona,first projection,2026-04-01,2026-07-31,5,0,0
Mar 2026,SSD,14203031,Unity,Rubkona,second projection,2026-04-01,2026-07-31,all,414201,1.0
Mar 2026,SSD,14203031,Unity,Rubkona,second projection,2026-04-01,2026-07-31,3+,310651,0.75
Mar 2026,SSD,14203031,Unity,Rubkona,second projection,2026-04-01,2026-07-31,1,20710,0.05
Mar 2026,SSD,14203031,Unity,Rubkona,second projection,2026-04-01,2026-07-31,2,82840,0.2
Mar 2026,SSD,14203031,Unity,Rubkona,second projection,2026-04-01,2026-07-31,3,207101,0.5
Mar 2026,SSD,14203031,Unity,Rubkona,second projection,2026-04-01,2026-07-31,4,103550,0.25
Mar 2026,SSD,14203031,Unity,Rubkona,second projection,2026-04-01,2026-07-31,5,0,0
Mar 2026,SSD,14203031,Jonglei,Bor South,first projection,2026-04-01,2026-07-31,all,363622,1.0
Mar 2026,SSD,14203031,Jonglei,Bor South,first projection,2026-04-01,2026-07-31,3+,72724,0.2
Mar 2026,SSD,14203031,Jonglei,Bor South,first projection,2026-04-01,2026-07-31,1,145449,0.4
Mar 2026,SSD,14203031,Jonglei,Bor South,first projection,2026-04-01,2026-07-31,2,145449,0.4
Mar 2026,SSD,14203031,Jonglei,Bor South,first projection,2026-04-01,2026-07-31,3,54543,0.15
Mar 2026,SSD,14203031,Jonglei,Bor South,first projection,2026-04-01,2026-07-31,4,18181,0.05
Mar 2026,SSD,14203031,Jonglei,Bor South,first projection,2026-04-01,2026-07-31,5,0,0
Mar 2026,SSD,14203031,Jonglei,Bor South,second projection,2026-04-01,2026-07-31,all,363622,1.0
Mar 2026,SSD,14203031,Jonglei,Bor South,second projection,2026-04-01,2026-07-31,3+,72724,0.2
Mar 2026,SSD,14203031,Jonglei,Bor South,second projection,2026-04-01,2026-07-31,1,145449,0.4
Mar 2026,SSD,14203031,Jonglei,Bor South,second projection,2026-04-01,2026-07-31,2,145449,0.4
Mar 2026,SSD,14203031,Jonglei,Bor South,second projection,2026-04-01,2026-07-31,3,54543,0.15
Mar 2026,SSD,14203031,Jonglei,Bor South,second projection,2026-04-01,2026-07-31,4,18181,0.05
Mar 2026,SSD,14203031,Jonglei,Bor South,second projection,2026-04-01,2026-07-31,5,0,0
Mar 2026,SSD,14203031,Jonglei,Canal/Pigi,first projection,2026-04-01,2026-07-31,all,113129,1.0
Mar 2026,SSD,14203031,Jonglei,Canal/Pigi,first projection,2026-04-01,2026-07-31,3+,90503,0.8
Mar 2026,SSD,14203031,Jonglei,Canal/Pigi,first projection,2026-04-01,2026-07-31,1,5656,0.05
Mar 2026,SSD,14203031,Jonglei,Canal/Pigi,first projection,2026-04-01,2026-07-31,2,16969,0.15
Mar 2026,SSD,14203031,Jonglei,Canal/Pigi,first projection,2026-04-01,2026-07-31,3,45252,0.4
Mar 2026,SSD,14203031,Jonglei,Canal/Pigi,first projection,2026-04-01,2026-07-31,4,45252,0.4
Mar 2026,SSD,14203031,Jonglei,Canal/Pigi,first projection,2026-04-01,2026-07-31,5,0,0
Mar 2026,SSD,14203031,Jonglei,Canal/Pigi,second projection,2026-04-01,2026-07-31,all,113129,1.0
Mar 2026,SSD,14203031,Jonglei,Canal/Pigi,second projection,2026-04-01,2026-07-31,3+,90503,0.8
Mar 2026,SSD,14203031,Jonglei,Canal/Pigi,second projection,2026-04-01,2026-07-31,1,5656,0.05
Mar 2026,SSD,14203031,Jonglei,Canal/Pigi,second projection,2026-04-01,2026-07-31,2,16969,0.15
Mar 2026,SSD,14203031,Jonglei,Canal/Pigi,second projection,2026-04-01,2026-07-31,3,45252,0.4
Mar 2026,SSD,14203031,Jonglei,Canal/Pigi,second projection,2026-04-01,2026-07-31,4,45252,0.4
Mar 2026,SSD,14203031,Jonglei,Canal/Pigi,second projection,2026-04-01,2026-07-31,5,0,0
