Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Sep 2024,SSD,13576215,Jonglei,Bor south,second projection,2025-04-01,2025-07-31,1,105000,0.3
Sep 2024,SSD,13576215,Jonglei,Bor south,second projection,2025-04-01,2025-07-31,2,158000,0.45
Sep 2024,SSD,13576215,Jonglei,Bor south,second projection,2025-04-01,2025-07-31,3,70000,0.2
Sep 2024,SSD,13576215,Jonglei,Bor south,second projection,2025-04-01,2025-07-31,4,18000,0.05
Sep 2024,SSD,13576215,Jonglei,Bor south,second projection,2025-04-01,2025-07-31,5,0,0
Sep 2024,SSD,13576215,Jonglei,Canal/pigi,current,2024-09-01,2024-11-30,all,109825,1.0
Sep 2024,SSD,13576215,Jonglei,Canal/pigi,current,2024-09-01,2024-11-30,3+,65000,0.59
Sep 2024,SSD,13576215,Jonglei,Canal/pigi,current,2024-09-01,2024-11-30,1,11000,0.1
Sep 2024,SSD,13576215,Jonglei,Canal/pigi,current,2024-09-01,2024-11-30,2,33000,0.3
Sep 2024,SSD,13576215,Jonglei,Canal/pigi,current,2024-09-01,2024-11-30,3,49000,0.45
Sep 2024,SSD,13576215,Jonglei,Canal/pigi,current,2024-09-01,2024-11-30,4,16000,0.15
Sep 2024,SSD,13576215,Jonglei,Canal/pigi,current,2024-09-01,2024-11-30,5,0,0
Sep 2024,SSD,13576215,Jonglei,Canal/pigi,first projection,2024-12-01,2025-03-31,all,109825,1.0
Sep 2024,SSD,13576215,Jonglei,Canal/pigi,first projection,2024-12-01,2025-03-31,3+,71000,0.65
Sep 2024,SSD,13576215,Jonglei,Canal/pigi,first projection,2024-12-01,2025-03-31,1,11000,0.1
Sep 2024,SSD,13576215,Jonglei,Canal/pigi,first projection,2024-12-01,2025-03-31,2,27000,0.25
Sep 2024,SSD,13576215,Jonglei,Canal/pigi,first projection,2024-12-01,2025-03-31,3,49000,0.45
Sep 2024,SSD,13576215,Jonglei,Canal/pigi,first projection,2024-12-01,2025-03-31,4,22000,0.2
Sep 2024,SSD,13576215,Jonglei,Canal/pigi,first projection,2024-12-01,2025-03-31,5,0,0
Sep 2024,SSD,13576215,Jonglei,Canal/pigi,second projection,2025-04-01,2025-07-31,all,109825,1.0
Sep 2024,SSD,13576215,Jonglei,Canal/pigi,second projection,2025-04-01,2025-07-31,3+,76000,0.69
Sep 2024,SSD,13576215,Jonglei,Canal/pigi,second projection,2025-04-01,2025-07-31,1,5000,0.05
Sep 2024,SSD,13576215,Jonglei,Canal/pigi,second projection,2025-04-01,2025-07-31,2,27000,0.25
Sep 2024,SSD,13576215,Jonglei,Canal/pigi,second projection,2025-04-01,2025-07-31,3,49000,0.45
Sep 2024,SSD,13576215,Jonglei,Canal/pigi,second projection,2025-04-01,2025-07-31,4,27000,0.25
Sep 2024,SSD,13576215,Jonglei,Canal/pigi,second projection,2025-04-01,2025-07-31,5,0,0
Sep 2024,SSD,13576215,Jonglei,Duk,current,2024-09-01,2024-11-30,all,205398,1.0
Sep 2024,SSD,13576215,Jonglei,Duk,current,2024-09-01,2024-11-30,3+,113000,0.55
Sep 2024,SSD,13576215,Jonglei,Duk,current,2024-09-01,2024-11-30,1,31000,0.15
Sep 2024,SSD,13576215,Jonglei,Duk,current,2024-09-01,2024-11-30,2,62000,0.3
Sep 2024,SSD,13576215,Jonglei,Duk,current,2024-09-01,2024-11-30,3,82000,0.4
Sep 2024,SSD,13576215,Jonglei,Duk,current,2024-09-01,2024-11-30,4,31000,0.15
Sep 2024,SSD,13576215,Jonglei,Duk,current,2024-09-01,2024-11-30,5,0,0
Sep 2024,SSD,13576215,Jonglei,Duk,first projection,2024-12-01,2025-03-31,all,205398,1.0
Sep 2024,SSD,13576215,Jonglei,Duk,first projection,2024-12-01,2025-03-31,3+,103000,0.5
Sep 2024,SSD,13576215,Jonglei,Duk,first projection,2024-12-01,2025-03-31,1,41000,0.2
Sep 2024,SSD,13576215,Jonglei,Duk,first projection,2024-12-01,2025-03-31,2,62000,0.3
Sep 2024,SSD,13576215,Jonglei,Duk,first projection,2024-12-01,2025-03-31,3,72000,0.35
Sep 2024,SSD,13576215,Jonglei,Duk,first projection,2024-12-01,2025-03-31,4,31000,0.15
Sep 2024,SSD,13576215,Jonglei,Duk,first projection,2024-12-01,2025-03-31,5,0,0
Sep 2024,SSD,13576215,Jonglei,Duk,second projection,2025-04-01,2025-07-31,all,205398,1.0
Sep 2024,SSD,13576215,Jonglei,Duk,second projection,2025-04-01,2025-07-31,3+,123000,0.6
Sep 2024,SSD,13576215,Jonglei,Duk,second projection,2025-04-01,2025-07-31,1,31000,0.15
Sep 2024,SSD,13576215,Jonglei,Duk,second projection,2025-04-01,2025-07-31,2,51000,0.25
Sep 2024,SSD,13576215,Jonglei,Duk,second projection,2025-04-01,2025-07-31,3,72000,0.35
Sep 2024,SSD,13576215,Jonglei,Duk,second projection,2025-04-01,2025-07-31,4,51000,0.25
Sep 2024,SSD,13576215,Jonglei,Duk,second projection,2025-04-01,2025-07-31,5,0,0
Sep 2024,SSD,13576215,Jonglei,Fangak,current,2024-09-01,2024-11-30,all,202858,1.0
Sep 2024,SSD,13576215,Jonglei,Fangak,current,2024-09-01,2024-11-30,3+,112000,0.55
Sep 2024,SSD,13576215,Jonglei,Fangak,current,2024-09-01,2024-11-30,1,30000,0.15
Sep 2024,SSD,13576215,Jonglei,Fangak,current,2024-09-01,2024-11-30,2,61000,0.3
Sep 2024,SSD,13576215,Jonglei,Fangak,current,2024-09-01,2024-11-30,3,61000,0.3
Sep 2024,SSD,13576215,Jonglei,Fangak,current,2024-09-01,2024-11-30,4,51000,0.25
Sep 2024,SSD,13576215,Jonglei,Fangak,current,2024-09-01,2024-11-30,5,0,0
Sep 2024,SSD,13576215,Jonglei,Fangak,first projection,2024-12-01,2025-03-31,all,202858,1.0
Sep 2024,SSD,13576215,Jonglei,Fangak,first projection,2024-12-01,2025-03-31,3+,132000,0.65
Sep 2024,SSD,13576215,Jonglei,Fangak,first projection,2024-12-01,2025-03-31,1,20000,0.1
Sep 2024,SSD,13576215,Jonglei,Fangak,first projection,2024-12-01,2025-03-31,2,51000,0.25
Sep 2024,SSD,13576215,Jonglei,Fangak,first projection,2024-12-01,2025-03-31,3,71000,0.35
Sep 2024,SSD,13576215,Jonglei,Fangak,first projection,2024-12-01,2025-03-31,4,61000,0.3
Sep 2024,SSD,13576215,Jonglei,Fangak,first projection,2024-12-01,2025-03-31,5,0,0
Sep 2024,SSD,13576215,Jonglei,Fangak,second projection,2025-04-01,2025-07-31,all,202858,1.0
Sep 2024,SSD,13576215,Jonglei,Fangak,second projection,2025-04-01,2025-07-31,3+,132000,0.65
Sep 2024,SSD,13576215,Jonglei,Fangak,second projection,2025-04-01,2025-07-31,1,30000,0.15
Sep 2024,SSD,13576215,Jonglei,Fangak,second projection,2025-04-01,2025-07-31,2,41000,0.2
Sep 2024,SSD,13576215,Jonglei,Fangak,second projection,2025-04-01,2025-07-31,3,61000,0.3
Sep 2024,SSD,13576215,Jonglei,Fangak,second projection,2025-04-01,2025-07-31,4,71000,0.35
Sep 2024,SSD,13576215,Jonglei,Fangak,second projection,2025-04-01,2025-07-31,5,0,0
Sep 2024,SSD,13576215,Jonglei,Pibor,current,2024-09-01,2024-11-30,all,235136,1.0
Sep 2024,SSD,13576215,Jonglei,Pibor,current,2024-09-01,2024-11-30,3+,188000,0.8
Sep 2024,SSD,13576215,Jonglei,Pibor,current,2024-09-01,2024-11-30,1,12000,0.05
Sep 2024,SSD,13576215,Jonglei,Pibor,current,2024-09-01,2024-11-30,2,35000,0.15
Sep 2024,SSD,13576215,Jonglei,Pibor,current,2024-09-01,2024-11-30,3,106000,0.45
Sep 2024,SSD,13576215,Jonglei,Pibor,current,2024-09-01,2024-11-30,4,82000,0.35
Sep 2024,SSD,13576215,Jonglei,Pibor,current,2024-09-01,2024-11-30,5,0,0
Sep 2024,SSD,13576215,Jonglei,Pibor,first projection,2024-12-01,2025-03-31,all,235136,1.0
Sep 2024,SSD,13576215,Jonglei,Pibor,first projection,2024-12-01,2025-03-31,3+,177000,0.75
Sep 2024,SSD,13576215,Jonglei,Pibor,first projection,2024-12-01,2025-03-31,1,12000,0.05
Sep 2024,SSD,13576215,Jonglei,Pibor,first projection,2024-12-01,2025-03-31,2,47000,0.2
Sep 2024,SSD,13576215,Jonglei,Pibor,first projection,2024-12-01,2025-03-31,3,106000,0.45
Sep 2024,SSD,13576215,Jonglei,Pibor,first projection,2024-12-01,2025-03-31,4,71000,0.3
Sep 2024,SSD,13576215,Jonglei,Pibor,first projection,2024-12-01,2025-03-31,5,0,0
Sep 2024,SSD,13576215,Jonglei,Pibor,second projection,2025-04-01,2025-07-31,all,235136,1.0
Sep 2024,SSD,13576215,Jonglei,Pibor,second projection,2025-04-01,2025-07-31,3+,200000,0.85
Sep 2024,SSD,13576215,Jonglei,Pibor,second projection,2025-04-01,2025-07-31,1,12000,0.05
Sep 2024,SSD,13576215,Jonglei,Pibor,second projection,2025-04-01,2025-07-31,2,24000,0.1
Sep 2024,SSD,13576215,Jonglei,Pibor,second projection,2025-04-01,2025-07-31,3,106000,0.45
Sep 2024,SSD,13576215,Jonglei,Pibor,second projection,2025-04-01,2025-07-31,4,82000,0.35
Sep 2024,SSD,13576215,Jonglei,Pibor,second projection,2025-04-01,2025-07-31,5,12000,0.05
Sep 2024,SSD,13576215,Jonglei,Pochalla,current,2024-09-01,2024-11-30,all,81949,1.0
Sep 2024,SSD,13576215,Jonglei,Pochalla,current,2024-09-01,2024-11-30,3+,41000,0.5
Sep 2024,SSD,13576215,Jonglei,Pochalla,current,2024-09-01,2024-11-30,1,16000,0.2
Sep 2024,SSD,13576215,Jonglei,Pochalla,current,2024-09-01,2024-11-30,2,25000,0.31
Sep 2024,SSD,13576215,Jonglei,Pochalla,current,2024-09-01,2024-11-30,3,37000,0.45
Sep 2024,SSD,13576215,Jonglei,Pochalla,current,2024-09-01,2024-11-30,4,4000,0.05
Sep 2024,SSD,13576215,Jonglei,Pochalla,current,2024-09-01,2024-11-30,5,0,0
Sep 2024,SSD,13576215,Jonglei,Pochalla,first projection,2024-12-01,2025-03-31,all,81948,1.0
Sep 2024,SSD,13576215,Jonglei,Pochalla,first projection,2024-12-01,2025-03-31,3+,37000,0.45
Sep 2024,SSD,13576215,Jonglei,Pochalla,first projection,2024-12-01,2025-03-31,1,20000,0.24
Sep 2024,SSD,13576215,Jonglei,Pochalla,first projection,2024-12-01,2025-03-31,2,25000,0.31
Sep 2024,SSD,13576215,Jonglei,Pochalla,first projection,2024-12-01,2025-03-31,3,33000,0.4
Sep 2024,SSD,13576215,Jonglei,Pochalla,first projection,2024-12-01,2025-03-31,4,4000,0.05
Sep 2024,SSD,13576215,Jonglei,Pochalla,first projection,2024-12-01,2025-03-31,5,0,0
Sep 2024,SSD,13576215,Jonglei,Pochalla,second projection,2025-04-01,2025-07-31,all,81948,1.0
Sep 2024,SSD,13576215,Jonglei,Pochalla,second projection,2025-04-01,2025-07-31,3+,53000,0.65
Sep 2024,SSD,13576215,Jonglei,Pochalla,second projection,2025-04-01,2025-07-31,1,8000,0.1
Sep 2024,SSD,13576215,Jonglei,Pochalla,second projection,2025-04-01,2025-07-31,2,20000,0.24
Sep 2024,SSD,13576215,Jonglei,Pochalla,second projection,2025-04-01,2025-07-31,3,41000,0.5
Sep 2024,SSD,13576215,Jonglei,Pochalla,second projection,2025-04-01,2025-07-31,4,12000,0.15
Sep 2024,SSD,13576215,Jonglei,Pochalla,second projection,2025-04-01,2025-07-31,5,0,0
Sep 2024,SSD,13576215,Jonglei,Ayod,current,2024-09-01,2024-11-30,all,200228,1.0
Sep 2024,SSD,13576215,Jonglei,Ayod,current,2024-09-01,2024-11-30,3+,110000,0.55
Sep 2024,SSD,13576215,Jonglei,Ayod,current,2024-09-01,2024-11-30,1,30000,0.15
Sep 2024,SSD,13576215,Jonglei,Ayod,current,2024-09-01,2024-11-30,2,60000,0.3
Sep 2024,SSD,13576215,Jonglei,Ayod,current,2024-09-01,2024-11-30,3,80000,0.4
Sep 2024,SSD,13576215,Jonglei,Ayod,current,2024-09-01,2024-11-30,4,30000,0.15
Sep 2024,SSD,13576215,Jonglei,Ayod,current,2024-09-01,2024-11-30,5,0,0
Sep 2024,SSD,13576215,Jonglei,Ayod,first projection,2024-12-01,2025-03-31,all,200228,1.0
Sep 2024,SSD,13576215,Jonglei,Ayod,first projection,2024-12-01,2025-03-31,3+,100000,0.5
Sep 2024,SSD,13576215,Jonglei,Ayod,first projection,2024-12-01,2025-03-31,1,30000,0.15
Sep 2024,SSD,13576215,Jonglei,Ayod,first projection,2024-12-01,2025-03-31,2,70000,0.35
Sep 2024,SSD,13576215,Jonglei,Ayod,first projection,2024-12-01,2025-03-31,3,80000,0.4
Sep 2024,SSD,13576215,Jonglei,Ayod,first projection,2024-12-01,2025-03-31,4,20000,0.1
Sep 2024,SSD,13576215,Jonglei,Ayod,first projection,2024-12-01,2025-03-31,5,0,0
Sep 2024,SSD,13576215,Jonglei,Ayod,second projection,2025-04-01,2025-07-31,all,200228,1.0
Sep 2024,SSD,13576215,Jonglei,Ayod,second projection,2025-04-01,2025-07-31,3+,130000,0.65
Sep 2024,SSD,13576215,Jonglei,Ayod,second projection,2025-04-01,2025-07-31,1,20000,0.1
Sep 2024,SSD,13576215,Jonglei,Ayod,second projection,2025-04-01,2025-07-31,2,50000,0.25
Sep 2024,SSD,13576215,Jonglei,Ayod,second projection,2025-04-01,2025-07-31,3,90000,0.45
Sep 2024,SSD,13576215,Jonglei,Ayod,second projection,2025-04-01,2025-07-31,4,40000,0.2
Sep 2024,SSD,13576215,Jonglei,Ayod,second projection,2025-04-01,2025-07-31,5,0,0
Sep 2024,SSD,13576215,Jonglei,Uror,current,2024-09-01,2024-11-30,all,202180,1.0
Sep 2024,SSD,13576215,Jonglei,Uror,current,2024-09-01,2024-11-30,3+,132000,0.65
Sep 2024,SSD,13576215,Jonglei,Uror,current,2024-09-01,2024-11-30,1,20000,0.1
Sep 2024,SSD,13576215,Jonglei,Uror,current,2024-09-01,2024-11-30,2,51000,0.25
Sep 2024,SSD,13576215,Jonglei,Uror,current,2024-09-01,2024-11-30,3,71000,0.35
Sep 2024,SSD,13576215,Jonglei,Uror,current,2024-09-01,2024-11-30,4,61000,0.3
Sep 2024,SSD,13576215,Jonglei,Uror,current,2024-09-01,2024-11-30,5,0,0
Sep 2024,SSD,13576215,Jonglei,Uror,first projection,2024-12-01,2025-03-31,all,202180,1.0
Sep 2024,SSD,13576215,Jonglei,Uror,first projection,2024-12-01,2025-03-31,3+,122000,0.6
Sep 2024,SSD,13576215,Jonglei,Uror,first projection,2024-12-01,2025-03-31,1,20000,0.1
Sep 2024,SSD,13576215,Jonglei,Uror,first projection,2024-12-01,2025-03-31,2,61000,0.3
Sep 2024,SSD,13576215,Jonglei,Uror,first projection,2024-12-01,2025-03-31,3,71000,0.35
Sep 2024,SSD,13576215,Jonglei,Uror,first projection,2024-12-01,2025-03-31,4,51000,0.25
Sep 2024,SSD,13576215,Jonglei,Uror,first projection,2024-12-01,2025-03-31,5,0,0
Sep 2024,SSD,13576215,Jonglei,Uror,second projection,2025-04-01,2025-07-31,all,202180,1.0
Sep 2024,SSD,13576215,Jonglei,Uror,second projection,2025-04-01,2025-07-31,3+,142000,0.7
Sep 2024,SSD,13576215,Jonglei,Uror,second projection,2025-04-01,2025-07-31,1,10000,0.05
Sep 2024,SSD,13576215,Jonglei,Uror,second projection,2025-04-01,2025-07-31,2,51000,0.25
Sep 2024,SSD,13576215,Jonglei,Uror,second projection,2025-04-01,2025-07-31,3,71000,0.35
Sep 2024,SSD,13576215,Jonglei,Uror,second projection,2025-04-01,2025-07-31,4,61000,0.3
Sep 2024,SSD,13576215,Jonglei,Uror,second projection,2025-04-01,2025-07-31,5,10000,0.05
Sep 2024,SSD,13576215,Jonglei,Akobo,current,2024-09-01,2024-11-30,all,233788,1.0
Sep 2024,SSD,13576215,Jonglei,Akobo,current,2024-09-01,2024-11-30,3+,140000,0.6
Sep 2024,SSD,13576215,Jonglei,Akobo,current,2024-09-01,2024-11-30,1,35000,0.15
Sep 2024,SSD,13576215,Jonglei,Akobo,current,2024-09-01,2024-11-30,2,58000,0.25
Sep 2024,SSD,13576215,Jonglei,Akobo,current,2024-09-01,2024-11-30,3,105000,0.45
Sep 2024,SSD,13576215,Jonglei,Akobo,current,2024-09-01,2024-11-30,4,35000,0.15
Sep 2024,SSD,13576215,Jonglei,Akobo,current,2024-09-01,2024-11-30,5,0,0
Sep 2024,SSD,13576215,Jonglei,Akobo,first projection,2024-12-01,2025-03-31,all,233787,1.0
Sep 2024,SSD,13576215,Jonglei,Akobo,first projection,2024-12-01,2025-03-31,3+,129000,0.55
Sep 2024,SSD,13576215,Jonglei,Akobo,first projection,2024-12-01,2025-03-31,1,35000,0.15
Sep 2024,SSD,13576215,Jonglei,Akobo,first projection,2024-12-01,2025-03-31,2,70000,0.3
Sep 2024,SSD,13576215,Jonglei,Akobo,first projection,2024-12-01,2025-03-31,3,94000,0.4
Sep 2024,SSD,13576215,Jonglei,Akobo,first projection,2024-12-01,2025-03-31,4,35000,0.15
Sep 2024,SSD,13576215,Jonglei,Akobo,first projection,2024-12-01,2025-03-31,5,0,0
Sep 2024,SSD,13576215,Jonglei,Akobo,second projection,2025-04-01,2025-07-31,all,233787,1.0
Sep 2024,SSD,13576215,Jonglei,Akobo,second projection,2025-04-01,2025-07-31,3+,163000,0.7
Sep 2024,SSD,13576215,Jonglei,Akobo,second projection,2025-04-01,2025-07-31,1,23000,0.1
Sep 2024,SSD,13576215,Jonglei,Akobo,second projection,2025-04-01,2025-07-31,2,47000,0.2
Sep 2024,SSD,13576215,Jonglei,Akobo,second projection,2025-04-01,2025-07-31,3,105000,0.45
Sep 2024,SSD,13576215,Jonglei,Akobo,second projection,2025-04-01,2025-07-31,4,58000,0.25
Sep 2024,SSD,13576215,Jonglei,Akobo,second projection,2025-04-01,2025-07-31,5,0,0
Sep 2024,SSD,13576215,Jonglei,Nyirol,current,2024-09-01,2024-11-30,all,146792,1.0
Sep 2024,SSD,13576215,Jonglei,Nyirol,current,2024-09-01,2024-11-30,3+,88000,0.6
Sep 2024,SSD,13576215,Jonglei,Nyirol,current,2024-09-01,2024-11-30,1,7000,0.05
Sep 2024,SSD,13576215,Jonglei,Nyirol,current,2024-09-01,2024-11-30,2,51000,0.35
Sep 2024,SSD,13576215,Jonglei,Nyirol,current,2024-09-01,2024-11-30,3,51000,0.35
Sep 2024,SSD,13576215,Jonglei,Nyirol,current,2024-09-01,2024-11-30,4,37000,0.25
Sep 2024,SSD,13576215,Jonglei,Nyirol,current,2024-09-01,2024-11-30,5,0,0
Sep 2024,SSD,13576215,Jonglei,Nyirol,first projection,2024-12-01,2025-03-31,all,146791,1.0
Sep 2024,SSD,13576215,Jonglei,Nyirol,first projection,2024-12-01,2025-03-31,3+,88000,0.6
Sep 2024,SSD,13576215,Jonglei,Nyirol,first projection,2024-12-01,2025-03-31,1,7000,0.05
Sep 2024,SSD,13576215,Jonglei,Nyirol,first projection,2024-12-01,2025-03-31,2,51000,0.35
Sep 2024,SSD,13576215,Jonglei,Nyirol,first projection,2024-12-01,2025-03-31,3,59000,0.4
Sep 2024,SSD,13576215,Jonglei,Nyirol,first projection,2024-12-01,2025-03-31,4,29000,0.2
Sep 2024,SSD,13576215,Jonglei,Nyirol,first projection,2024-12-01,2025-03-31,5,0,0
Sep 2024,SSD,13576215,Jonglei,Nyirol,second projection,2025-04-01,2025-07-31,all,146791,1.0
Sep 2024,SSD,13576215,Jonglei,Nyirol,second projection,2025-04-01,2025-07-31,3+,110000,0.75
Sep 2024,SSD,13576215,Jonglei,Nyirol,second projection,2025-04-01,2025-07-31,1,7000,0.05
Sep 2024,SSD,13576215,Jonglei,Nyirol,second projection,2025-04-01,2025-07-31,2,29000,0.2
Sep 2024,SSD,13576215,Jonglei,Nyirol,second projection,2025-04-01,2025-07-31,3,59000,0.4
Sep 2024,SSD,13576215,Jonglei,Nyirol,second projection,2025-04-01,2025-07-31,4,51000,0.35
Sep 2024,SSD,13576215,Jonglei,Nyirol,second projection,2025-04-01,2025-07-31,5,0,0
Sep 2024,SSD,13576215,Jonglei,Twic east,current,2024-09-01,2024-11-30,all,128083,1.0
Sep 2024,SSD,13576215,Jonglei,Twic east,current,2024-09-01,2024-11-30,3+,70000,0.55
Sep 2024,SSD,13576215,Jonglei,Twic east,current,2024-09-01,2024-11-30,1,19000,0.15
Sep 2024,SSD,13576215,Jonglei,Twic east,current,2024-09-01,2024-11-30,2,38000,0.3
Sep 2024,SSD,13576215,Jonglei,Twic east,current,2024-09-01,2024-11-30,3,51000,0.4
Sep 2024,SSD,13576215,Jonglei,Twic east,current,2024-09-01,2024-11-30,4,19000,0.15
Sep 2024,SSD,13576215,Jonglei,Twic east,current,2024-09-01,2024-11-30,5,0,0
Sep 2024,SSD,13576215,Jonglei,Twic east,first projection,2024-12-01,2025-03-31,all,128083,1.0
Sep 2024,SSD,13576215,Jonglei,Twic east,first projection,2024-12-01,2025-03-31,3+,84000,0.66
Sep 2024,SSD,13576215,Jonglei,Twic east,first projection,2024-12-01,2025-03-31,1,19000,0.15
Sep 2024,SSD,13576215,Jonglei,Twic east,first projection,2024-12-01,2025-03-31,2,26000,0.2
Sep 2024,SSD,13576215,Jonglei,Twic east,first projection,2024-12-01,2025-03-31,3,58000,0.45
Sep 2024,SSD,13576215,Jonglei,Twic east,first projection,2024-12-01,2025-03-31,4,26000,0.2
Sep 2024,SSD,13576215,Jonglei,Twic east,first projection,2024-12-01,2025-03-31,5,0,0
Sep 2024,SSD,13576215,Jonglei,Twic east,second projection,2025-04-01,2025-07-31,all,128083,1.0
Sep 2024,SSD,13576215,Jonglei,Twic east,second projection,2025-04-01,2025-07-31,3+,89000,0.69
Sep 2024,SSD,13576215,Jonglei,Twic east,second projection,2025-04-01,2025-07-31,1,13000,0.1
Sep 2024,SSD,13576215,Jonglei,Twic east,second projection,2025-04-01,2025-07-31,2,26000,0.2
Sep 2024,SSD,13576215,Jonglei,Twic east,second projection,2025-04-01,2025-07-31,3,51000,0.4
Sep 2024,SSD,13576215,Jonglei,Twic east,second projection,2025-04-01,2025-07-31,4,38000,0.3
Sep 2024,SSD,13576215,Jonglei,Twic east,second projection,2025-04-01,2025-07-31,5,0,0
Sep 2024,SSD,13576215,Unity,Guit,current,2024-09-01,2024-11-30,all,72116,1.0
Sep 2024,SSD,13576215,Unity,Guit,current,2024-09-01,2024-11-30,3+,54000,0.75
Sep 2024,SSD,13576215,Unity,Guit,current,2024-09-01,2024-11-30,1,4000,0.06
Sep 2024,SSD,13576215,Unity,Guit,current,2024-09-01,2024-11-30,2,14000,0.19
Sep 2024,SSD,13576215,Unity,Guit,current,2024-09-01,2024-11-30,3,43000,0.6
Sep 2024,SSD,13576215,Unity,Guit,current,2024-09-01,2024-11-30,4,11000,0.15
Sep 2024,SSD,13576215,Unity,Guit,current,2024-09-01,2024-11-30,5,0,0
Sep 2024,SSD,13576215,Unity,Guit,first projection,2024-12-01,2025-03-31,all,72116,1.0
Sep 2024,SSD,13576215,Unity,Guit,first projection,2024-12-01,2025-03-31,3+,58000,0.8
Sep 2024,SSD,13576215,Unity,Guit,first projection,2024-12-01,2025-03-31,1,4000,0.06
Sep 2024,SSD,13576215,Unity,Guit,first projection,2024-12-01,2025-03-31,2,11000,0.15
Sep 2024,SSD,13576215,Unity,Guit,first projection,2024-12-01,2025-03-31,3,47000,0.65
Sep 2024,SSD,13576215,Unity,Guit,first projection,2024-12-01,2025-03-31,4,11000,0.15
Sep 2024,SSD,13576215,Unity,Guit,first projection,2024-12-01,2025-03-31,5,0,0
Sep 2024,SSD,13576215,Unity,Guit,second projection,2025-04-01,2025-07-31,all,72116,1.0
Sep 2024,SSD,13576215,Unity,Guit,second projection,2025-04-01,2025-07-31,3+,61000,0.85
Sep 2024,SSD,13576215,Unity,Guit,second projection,2025-04-01,2025-07-31,1,0,0
Sep 2024,SSD,13576215,Unity,Guit,second projection,2025-04-01,2025-07-31,2,11000,0.15
Sep 2024,SSD,13576215,Unity,Guit,second projection,2025-04-01,2025-07-31,3,47000,0.65
Sep 2024,SSD,13576215,Unity,Guit,second projection,2025-04-01,2025-07-31,4,14000,0.19
Sep 2024,SSD,13576215,Unity,Guit,second projection,2025-04-01,2025-07-31,5,0,0
Sep 2024,SSD,13576215,Unity,Leer,current,2024-09-01,2024-11-30,all,80145,1.0
Sep 2024,SSD,13576215,Unity,Leer,current,2024-09-01,2024-11-30,3+,48000,0.6
Sep 2024,SSD,13576215,Unity,Leer,current,2024-09-01,2024-11-30,1,12000,0.15
Sep 2024,SSD,13576215,Unity,Leer,current,2024-09-01,2024-11-30,2,20000,0.25
Sep 2024,SSD,13576215,Unity,Leer,current,2024-09-01,2024-11-30,3,40000,0.5
Sep 2024,SSD,13576215,Unity,Leer,current,2024-09-01,2024-11-30,4,8000,0.1
Sep 2024,SSD,13576215,Unity,Leer,current,2024-09-01,2024-11-30,5,0,0
Sep 2024,SSD,13576215,Unity,Leer,first projection,2024-12-01,2025-03-31,all,80145,1.0
Sep 2024,SSD,13576215,Unity,Leer,first projection,2024-12-01,2025-03-31,3+,52000,0.65
Sep 2024,SSD,13576215,Unity,Leer,first projection,2024-12-01,2025-03-31,1,8000,0.1
Sep 2024,SSD,13576215,Unity,Leer,first projection,2024-12-01,2025-03-31,2,20000,0.25
Sep 2024,SSD,13576215,Unity,Leer,first projection,2024-12-01,2025-03-31,3,40000,0.5
Sep 2024,SSD,13576215,Unity,Leer,first projection,2024-12-01,2025-03-31,4,12000,0.15
Sep 2024,SSD,13576215,Unity,Leer,first projection,2024-12-01,2025-03-31,5,0,0
Sep 2024,SSD,13576215,Unity,Leer,second projection,2025-04-01,2025-07-31,all,80145,1.0
Sep 2024,SSD,13576215,Unity,Leer,second projection,2025-04-01,2025-07-31,3+,60000,0.75
Sep 2024,SSD,13576215,Unity,Leer,second projection,2025-04-01,2025-07-31,1,4000,0.05
Sep 2024,SSD,13576215,Unity,Leer,second projection,2025-04-01,2025-07-31,2,16000,0.2
Sep 2024,SSD,13576215,Unity,Leer,second projection,2025-04-01,2025-07-31,3,44000,0.55
Sep 2024,SSD,13576215,Unity,Leer,second projection,2025-04-01,2025-07-31,4,16000,0.2
Sep 2024,SSD,13576215,Unity,Leer,second projection,2025-04-01,2025-07-31,5,0,0
Sep 2024,SSD,13576215,Unity,Abiemnhom,current,2024-09-01,2024-11-30,all,58803,1.0
Sep 2024,SSD,13576215,Unity,Abiemnhom,current,2024-09-01,2024-11-30,3+,27000,0.46
Sep 2024,SSD,13576215,Unity,Abiemnhom,current,2024-09-01,2024-11-30,1,12000,0.2
Sep 2024,SSD,13576215,Unity,Abiemnhom,current,2024-09-01,2024-11-30,2,21000,0.36
Sep 2024,SSD,13576215,Unity,Abiemnhom,current,2024-09-01,2024-11-30,3,24000,0.41
Sep 2024,SSD,13576215,Unity,Abiemnhom,current,2024-09-01,2024-11-30,4,3000,0.05
Sep 2024,SSD,13576215,Unity,Abiemnhom,current,2024-09-01,2024-11-30,5,0,0
Sep 2024,SSD,13576215,Unity,Abiemnhom,first projection,2024-12-01,2025-03-31,all,58803,1.0
Sep 2024,SSD,13576215,Unity,Abiemnhom,first projection,2024-12-01,2025-03-31,3+,32000,0.54
Sep 2024,SSD,13576215,Unity,Abiemnhom,first projection,2024-12-01,2025-03-31,1,9000,0.15
Sep 2024,SSD,13576215,Unity,Abiemnhom,first projection,2024-12-01,2025-03-31,2,18000,0.31
Sep 2024,SSD,13576215,Unity,Abiemnhom,first projection,2024-12-01,2025-03-31,3,29000,0.49
